sample	SampleName
Macrophage_M1_xcell_ImmDeconv	Feature
Macrophage_M2_xcell_ImmDeconv	Feature
Mast_cell_xcell_ImmDeconv	Feature
B_cell_memory_xcell_ImmDeconv	Feature
Monocyte_xcell_ImmDeconv	Feature
B_cell_naive_xcell_ImmDeconv	Feature
Neutrophil_xcell_ImmDeconv	Feature
NK_cell_xcell_ImmDeconv	Feature
T_cell_NK_xcell_ImmDeconv	Feature
Plasmacytoid_dendritic_cell_xcell_ImmDeconv	Feature
B_cell_plasma_xcell_ImmDeconv	Feature
T_cell_gamma_delta_xcell_ImmDeconv	Feature
T_cell_CD4+_Th1_xcell_ImmDeconv	Feature
T_cell_CD4+_Th2_xcell_ImmDeconv	Feature
T_cell_regulatory_(Tregs)_xcell_ImmDeconv	Feature
immune_score_xcell_ImmDeconv	Feature
stroma_score_xcell_ImmDeconv	Feature
microenvironment_score_xcell_ImmDeconv	Feature
B_cell_epic_ImmDeconv	Feature
Cancer_associated_fibroblast_epic_ImmDeconv	Feature
T_cell_CD4+_epic_ImmDeconv	Feature
T_cell_CD8+_epic_ImmDeconv	Feature
Endothelial_cell_epic_ImmDeconv	Feature
Macrophage_epic_ImmDeconv	Feature
NK_cell_epic_ImmDeconv	Feature
uncharacterized_cell_epic_ImmDeconv	Feature
Monocyte_conventional_abis_ImmDeconv	Feature
NK_cell_abis_ImmDeconv	Feature
T_cell_CD8+_memory_abis_ImmDeconv	Feature
T_cell_CD4+_naive_abis_ImmDeconv	Feature
T_cell_CD8+_naive_abis_ImmDeconv	Feature
B_cell_naive_abis_ImmDeconv	Feature
T_cell_CD4+_memory_abis_ImmDeconv	Feature
T_cell_MAIT_abis_ImmDeconv	Feature
T_cell_gamma_delta_VD2_abis_ImmDeconv	Feature
Neutrophil_abis_ImmDeconv	Feature
T_cell_gamma_delta_non-VD2_abis_ImmDeconv	Feature
Basophil_abis_ImmDeconv	Feature
Monocyte_non-conventional_abis_ImmDeconv	Feature
B_cell_memory_abis_ImmDeconv	Feature
Myeloid_dendritic_cell_abis_ImmDeconv	Feature
Plasmacytoid_dendritic_cell_abis_ImmDeconv	Feature
B_cell_plasma_immature_abis_ImmDeconv	Feature
stroma_score_estimate_ImmDeconv	Feature
immune_score_estimate_ImmDeconv	Feature
tumor_purity_score_estimate_ImmDeconv	Feature
tumor_purity_fraction_estimate_ImmDeconv	Feature
B_cell_quantiseq_ImmDeconv_HiLoScore	Feature
Macrophage_M1_quantiseq_ImmDeconv_HiLoScore	Feature
Macrophage_M2_quantiseq_ImmDeconv_HiLoScore	Feature
Monocyte_quantiseq_ImmDeconv_HiLoScore	Feature
Neutrophil_quantiseq_ImmDeconv_HiLoScore	Feature
NK_cell_quantiseq_ImmDeconv_HiLoScore	Feature
T_cell_CD4+_(non-regulatory)_quantiseq_ImmDeconv_HiLoScore	Feature
T_cell_CD8+_quantiseq_ImmDeconv_HiLoScore	Feature
T_cell_regulatory_(Tregs)_quantiseq_ImmDeconv_HiLoScore	Feature
Myeloid_dendritic_cell_quantiseq_ImmDeconv_HiLoScore	Feature
uncharacterized_cell_quantiseq_ImmDeconv_HiLoScore	Feature
B_cell_naive_cibersort_ImmDeconv_HiLoScore	Feature
B_cell_memory_cibersort_ImmDeconv_HiLoScore	Feature
B_cell_plasma_cibersort_ImmDeconv_HiLoScore	Feature
T_cell_CD8+_cibersort_ImmDeconv_HiLoScore	Feature
T_cell_CD4+_naive_cibersort_ImmDeconv_HiLoScore	Feature
T_cell_CD4+_memory_resting_cibersort_ImmDeconv_HiLoScore	Feature
T_cell_CD4+_memory_activated_cibersort_ImmDeconv_HiLoScore	Feature
T_cell_follicular_helper_cibersort_ImmDeconv_HiLoScore	Feature
T_cell_regulatory_(Tregs)_cibersort_ImmDeconv_HiLoScore	Feature
T_cell_gamma_delta_cibersort_ImmDeconv_HiLoScore	Feature
NK_cell_resting_cibersort_ImmDeconv_HiLoScore	Feature
NK_cell_activated_cibersort_ImmDeconv_HiLoScore	Feature
Monocyte_cibersort_ImmDeconv_HiLoScore	Feature
Macrophage_M0_cibersort_ImmDeconv_HiLoScore	Feature
Macrophage_M1_cibersort_ImmDeconv_HiLoScore	Feature
Macrophage_M2_cibersort_ImmDeconv_HiLoScore	Feature
Myeloid_dendritic_cell_resting_cibersort_ImmDeconv_HiLoScore	Feature
Myeloid_dendritic_cell_activated_cibersort_ImmDeconv_HiLoScore	Feature
Mast_cell_activated_cibersort_ImmDeconv_HiLoScore	Feature
Mast_cell_resting_cibersort_ImmDeconv_HiLoScore	Feature
Eosinophil_cibersort_ImmDeconv_HiLoScore	Feature
Neutrophil_cibersort_ImmDeconv_HiLoScore	Feature
B_cell_naive_cibersort_abs_ImmDeconv_HiLoScore	Feature
B_cell_memory_cibersort_abs_ImmDeconv_HiLoScore	Feature
B_cell_plasma_cibersort_abs_ImmDeconv_HiLoScore	Feature
T_cell_CD8+_cibersort_abs_ImmDeconv_HiLoScore	Feature
T_cell_CD4+_naive_cibersort_abs_ImmDeconv_HiLoScore	Feature
T_cell_CD4+_memory_resting_cibersort_abs_ImmDeconv_HiLoScore	Feature
T_cell_CD4+_memory_activated_cibersort_abs_ImmDeconv_HiLoScore	Feature
T_cell_follicular_helper_cibersort_abs_ImmDeconv_HiLoScore	Feature
T_cell_regulatory_(Tregs)_cibersort_abs_ImmDeconv_HiLoScore	Feature
T_cell_gamma_delta_cibersort_abs_ImmDeconv_HiLoScore	Feature
NK_cell_resting_cibersort_abs_ImmDeconv_HiLoScore	Feature
NK_cell_activated_cibersort_abs_ImmDeconv_HiLoScore	Feature
Monocyte_cibersort_abs_ImmDeconv_HiLoScore	Feature
Macrophage_M0_cibersort_abs_ImmDeconv_HiLoScore	Feature
Macrophage_M1_cibersort_abs_ImmDeconv_HiLoScore	Feature
Macrophage_M2_cibersort_abs_ImmDeconv_HiLoScore	Feature
Myeloid_dendritic_cell_resting_cibersort_abs_ImmDeconv_HiLoScore	Feature
Myeloid_dendritic_cell_activated_cibersort_abs_ImmDeconv_HiLoScore	Feature
Mast_cell_activated_cibersort_abs_ImmDeconv_HiLoScore	Feature
Mast_cell_resting_cibersort_abs_ImmDeconv_HiLoScore	Feature
Eosinophil_cibersort_abs_ImmDeconv_HiLoScore	Feature
Neutrophil_cibersort_abs_ImmDeconv_HiLoScore	Feature
T_cell_mcp_counter_ImmDeconv_HiLoScore	Feature
T_cell_CD8+_mcp_counter_ImmDeconv_HiLoScore	Feature
cytotoxicity_score_mcp_counter_ImmDeconv_HiLoScore	Feature
NK_cell_mcp_counter_ImmDeconv_HiLoScore	Feature
B_cell_mcp_counter_ImmDeconv_HiLoScore	Feature
Monocyte_mcp_counter_ImmDeconv_HiLoScore	Feature
Macrophage/Monocyte_mcp_counter_ImmDeconv_HiLoScore	Feature
Myeloid_dendritic_cell_mcp_counter_ImmDeconv_HiLoScore	Feature
Neutrophil_mcp_counter_ImmDeconv_HiLoScore	Feature
Endothelial_cell_mcp_counter_ImmDeconv_HiLoScore	Feature
Cancer_associated_fibroblast_mcp_counter_ImmDeconv_HiLoScore	Feature
Myeloid_dendritic_cell_activated_xcell_ImmDeconv_HiLoScore	Feature
B_cell_xcell_ImmDeconv_HiLoScore	Feature
T_cell_CD4+_memory_xcell_ImmDeconv_HiLoScore	Feature
T_cell_CD4+_naive_xcell_ImmDeconv_HiLoScore	Feature
T_cell_CD4+_(non-regulatory)_xcell_ImmDeconv_HiLoScore	Feature
T_cell_CD4+_central_memory_xcell_ImmDeconv_HiLoScore	Feature
T_cell_CD4+_effector_memory_xcell_ImmDeconv_HiLoScore	Feature
T_cell_CD8+_naive_xcell_ImmDeconv_HiLoScore	Feature
T_cell_CD8+_xcell_ImmDeconv_HiLoScore	Feature
T_cell_CD8+_central_memory_xcell_ImmDeconv_HiLoScore	Feature
T_cell_CD8+_effector_memory_xcell_ImmDeconv_HiLoScore	Feature
Class-switched_memory_B_cell_xcell_ImmDeconv_HiLoScore	Feature
Common_lymphoid_progenitor_xcell_ImmDeconv_HiLoScore	Feature
Common_myeloid_progenitor_xcell_ImmDeconv_HiLoScore	Feature
Myeloid_dendritic_cell_xcell_ImmDeconv_HiLoScore	Feature
Endothelial_cell_xcell_ImmDeconv_HiLoScore	Feature
Eosinophil_xcell_ImmDeconv_HiLoScore	Feature
Cancer_associated_fibroblast_xcell_ImmDeconv_HiLoScore	Feature
Granulocyte-monocyte_progenitor_xcell_ImmDeconv_HiLoScore	Feature
Hematopoietic_stem_cell_xcell_ImmDeconv_HiLoScore	Feature
Macrophage_xcell_ImmDeconv_HiLoScore	Feature
Macrophage_M1_xcell_ImmDeconv_HiLoScore	Feature
Macrophage_M2_xcell_ImmDeconv_HiLoScore	Feature
Mast_cell_xcell_ImmDeconv_HiLoScore	Feature
B_cell_memory_xcell_ImmDeconv_HiLoScore	Feature
Monocyte_xcell_ImmDeconv_HiLoScore	Feature
B_cell_naive_xcell_ImmDeconv_HiLoScore	Feature
Neutrophil_xcell_ImmDeconv_HiLoScore	Feature
NK_cell_xcell_ImmDeconv_HiLoScore	Feature
T_cell_NK_xcell_ImmDeconv_HiLoScore	Feature
Plasmacytoid_dendritic_cell_xcell_ImmDeconv_HiLoScore	Feature
B_cell_plasma_xcell_ImmDeconv_HiLoScore	Feature
T_cell_gamma_delta_xcell_ImmDeconv_HiLoScore	Feature
T_cell_CD4+_Th1_xcell_ImmDeconv_HiLoScore	Feature
T_cell_CD4+_Th2_xcell_ImmDeconv_HiLoScore	Feature
T_cell_regulatory_(Tregs)_xcell_ImmDeconv_HiLoScore	Feature
immune_score_xcell_ImmDeconv_HiLoScore	Feature
stroma_score_xcell_ImmDeconv_HiLoScore	Feature
microenvironment_score_xcell_ImmDeconv_HiLoScore	Feature
B_cell_epic_ImmDeconv_HiLoScore	Feature
Cancer_associated_fibroblast_epic_ImmDeconv_HiLoScore	Feature
T_cell_CD4+_epic_ImmDeconv_HiLoScore	Feature
T_cell_CD8+_epic_ImmDeconv_HiLoScore	Feature
Endothelial_cell_epic_ImmDeconv_HiLoScore	Feature
Macrophage_epic_ImmDeconv_HiLoScore	Feature
NK_cell_epic_ImmDeconv_HiLoScore	Feature
uncharacterized_cell_epic_ImmDeconv_HiLoScore	Feature
Monocyte_conventional_abis_ImmDeconv_HiLoScore	Feature
NK_cell_abis_ImmDeconv_HiLoScore	Feature
T_cell_CD8+_memory_abis_ImmDeconv_HiLoScore	Feature
T_cell_CD4+_naive_abis_ImmDeconv_HiLoScore	Feature
T_cell_CD8+_naive_abis_ImmDeconv_HiLoScore	Feature
B_cell_naive_abis_ImmDeconv_HiLoScore	Feature
T_cell_CD4+_memory_abis_ImmDeconv_HiLoScore	Feature
T_cell_MAIT_abis_ImmDeconv_HiLoScore	Feature
T_cell_gamma_delta_VD2_abis_ImmDeconv_HiLoScore	Feature
Neutrophil_abis_ImmDeconv_HiLoScore	Feature
T_cell_gamma_delta_non-VD2_abis_ImmDeconv_HiLoScore	Feature
Basophil_abis_ImmDeconv_HiLoScore	Feature
Monocyte_non-conventional_abis_ImmDeconv_HiLoScore	Feature
B_cell_memory_abis_ImmDeconv_HiLoScore	Feature
Myeloid_dendritic_cell_abis_ImmDeconv_HiLoScore	Feature
Plasmacytoid_dendritic_cell_abis_ImmDeconv_HiLoScore	Feature
B_cell_plasma_immature_abis_ImmDeconv_HiLoScore	Feature
stroma_score_estimate_ImmDeconv_HiLoScore	Feature
immune_score_estimate_ImmDeconv_HiLoScore	Feature
tumor_purity_score_estimate_ImmDeconv_HiLoScore	Feature
tumor_purity_fraction_estimate_ImmDeconv_HiLoScore	Feature
